Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,CV Mean,CV Std
Logistic Regression,0.968,0.9595117370892019,0.968,0.9570285714285713,0.900392765801973,0.9705,0.0018285923547909837
Random Forest,0.985,0.9840307692307692,0.985,0.9838907080921071,0.9643922786505907,0.984375,0.002304886114323215
Decision Tree,0.986,0.9858107862492557,0.986,0.9858991437020794,0.8909199549384971,0.9808749999999999,0.001286953767623393
SVM,0.972,0.9694576612903225,0.972,0.9635192373169902,0.9453134514675436,0.9737500000000001,0.0016298006013006699
